Marital_status,Application_mode,Application_order,Daytime_evening_attendance,Previous_qualification_grade,Mothers_qualification,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Status
single,1,4,daytime,126.0,19,121.3,yes,no,yes,female,yes,18,7,9,6,13.533333333333331,0,7,7,7,12.228571428571428,0,1
single,1,1,daytime,176.0,3,169.7,no,no,yes,female,yes,18,7,7,7,16.9,0,8,9,8,16.37777777777778,0,1
single,17,4,daytime,124.0,19,117.7,yes,no,yes,female,no,18,6,10,5,12.0,0,6,11,4,12.0,0,1
single,44,1,evening,120.0,19,121.8,yes,no,yes,female,no,22,6,6,6,12.5,0,6,7,6,13.285714285714286,0,1
single,1,2,daytime,140.0,1,128.3,yes,no,yes,female,no,19,8,8,7,12.764285714285714,0,8,8,7,12.764285714285714,0,1
single,18,2,daytime,143.0,19,132.2,yes,no,yes,female,yes,18,5,8,5,13.75,0,5,6,5,12.166666666666666,0,1
single,1,2,daytime,136.0,39,134.3,yes,yes,yes,female,no,19,0,0,0,0.0,0,0,0,0,0.0,0,0
single,1,1,daytime,132.0,19,123.4,no,no,yes,female,yes,18,7,7,7,14.604285714285712,0,8,9,8,15.68333333333333,0,1
married,39,1,evening,133.1,19,121.7,no,yes,no,female,no,31,5,7,0,0.0,0,5,7,0,0.0,0,0
married,39,1,evening,100.0,1,130.0,no,yes,yes,female,yes,33,6,9,5,13.833333333333334,0,6,7,6,12.5,0,1
single,1,3,daytime,137.0,19,126.5,yes,no,yes,female,yes,19,8,8,8,13.57625,0,8,8,8,13.57625,0,1
single,17,1,daytime,153.0,38,159.7,yes,no,yes,female,yes,18,6,7,6,15.142857142857142,0,6,6,6,15.833333333333334,0,1
single,1,1,daytime,160.0,9,151.3,no,no,yes,female,no,23,5,8,3,10.666666666666666,0,5,8,5,11.6,0,1
single,17,1,daytime,145.0,38,138.0,yes,no,yes,female,no,20,6,11,5,11.2,0,6,6,6,12.0,0,1
single,1,5,daytime,137.0,38,126.5,yes,no,yes,female,no,18,8,8,8,13.76375,0,8,8,8,13.76375,0,1
single,53,1,daytime,140.0,1,140.0,yes,yes,yes,female,no,21,9,10,8,13.25,0,9,14,5,12.2,0,1
single,1,1,daytime,120.0,19,112.3,no,no,yes,female,yes,22,6,10,5,10.714285714285714,0,6,10,5,12.2,0,1
single,1,1,daytime,122.0,1,127.3,yes,yes,yes,female,no,20,6,6,6,12.166666666666666,0,6,7,6,11.666666666666666,0,1
single,7,1,daytime,130.0,19,130.0,yes,no,yes,female,no,23,7,8,6,14.357142857142858,0,7,8,6,14.357142857142858,0,1
single,17,2,daytime,133.1,3,115.0,yes,no,yes,female,no,19,6,6,6,12.833333333333334,0,6,6,6,12.666666666666666,0,1
single,17,6,daytime,150.0,1,131.5,yes,no,yes,female,no,19,8,8,7,13.925714285714283,0,8,8,7,13.925714285714283,0,1
single,39,1,evening,133.1,19,125.7,no,no,yes,female,no,26,5,9,2,12.0,0,5,9,3,11.0,0,0
single,1,6,daytime,141.0,1,126.8,yes,no,yes,female,no,18,7,7,7,13.44285714285714,0,8,9,8,13.744444444444444,0,1
single,18,1,daytime,146.0,1,132.4,yes,no,yes,male,no,18,5,5,1,16.0,0,5,5,0,0.0,0,0
single,44,1,daytime,150.0,38,150.0,yes,no,yes,male,no,20,6,8,6,13.125,0,6,10,6,13.2,0,1
single,1,1,daytime,133.1,3,95.0,no,no,yes,male,no,19,6,7,0,0.0,0,6,6,0,0.0,0,0
single,43,1,evening,120.0,37,128.2,no,no,no,male,no,32,9,9,5,11.4,0,4,4,4,11.0,0,0
married,39,1,daytime,150.0,19,130.0,no,no,no,male,no,31,4,12,2,11.0,2,5,9,3,11.666666666666666,0,0
single,39,1,daytime,133.1,1,100.0,no,no,yes,male,no,25,5,13,1,11.0,0,5,11,1,10.0,0,1
single,42,1,daytime,140.0,19,159.9,yes,no,yes,female,no,21,6,14,5,13.666666666666666,0,6,10,5,13.0,0,1
married,43,1,evening,140.0,37,100.0,no,no,no,female,no,31,6,10,4,11.75,0,5,6,1,10.0,0,0
married,39,1,daytime,133.1,37,116.5,no,no,yes,female,no,34,7,11,1,10.0,0,7,7,1,13.0,0,0
single,1,1,daytime,128.0,19,120.0,no,no,yes,female,yes,18,6,8,6,13.5,0,6,9,6,12.833333333333334,0,1
single,1,3,daytime,117.0,19,117.0,yes,yes,yes,female,no,19,6,0,0,0.0,0,6,0,0,0.0,0,0
single,53,1,daytime,140.0,19,140.0,yes,yes,yes,female,no,21,6,12,1,12.0,0,6,11,1,11.0,0,1
single,1,2,daytime,124.0,38,118.1,yes,no,no,female,no,18,6,11,3,13.0,0,6,10,5,11.8,0,0
single,1,1,daytime,158.0,19,153.5,yes,no,yes,female,no,20,6,7,6,14.833333333333334,0,6,6,6,16.0,0,1
single,43,1,daytime,137.0,38,127.9,yes,no,yes,female,no,20,6,6,6,11.833333333333334,0,6,7,6,12.857142857142858,0,1
single,17,3,daytime,123.0,38,118.8,yes,no,yes,female,yes,18,6,10,5,12.0,0,6,11,5,12.333333333333334,0,1
single,1,1,daytime,126.0,38,126.7,yes,no,yes,female,no,19,6,11,4,12.75,0,6,7,6,11.333333333333334,0,1
single,43,1,daytime,170.0,19,170.0,yes,no,yes,female,no,19,5,5,0,0.0,5,5,7,4,14.75,1,1
divorced,39,1,daytime,133.1,3,110.0,yes,no,yes,female,yes,30,6,7,0,0.0,0,6,16,1,10.0,0,0
single,17,1,daytime,115.0,19,115.0,yes,no,yes,female,no,19,6,6,6,12.0,0,6,7,6,12.857142857142858,0,1
single,1,3,daytime,132.0,38,119.0,yes,no,yes,female,no,19,7,9,7,11.677777777777775,0,8,8,8,13.8,0,1
single,1,4,daytime,132.0,1,121.8,yes,no,yes,female,yes,19,8,8,7,13.6,0,8,8,7,13.6,0,1
single,1,1,daytime,143.0,19,133.4,yes,no,yes,female,no,19,6,7,6,16.0,0,6,8,6,15.875,0,1
single,1,3,daytime,137.0,1,131.4,yes,no,yes,female,no,20,6,9,5,11.8,0,6,7,6,11.5,0,1
single,42,1,daytime,130.0,19,135.0,no,yes,yes,male,no,25,5,5,0,0.0,0,6,7,2,14.0,0,0
single,1,2,daytime,121.0,19,122.8,no,no,yes,male,no,19,6,0,0,0.0,0,6,0,0,0.0,0,0
married,39,1,daytime,130.0,37,140.0,no,yes,yes,female,yes,34,6,7,6,16.142857142857142,0,6,10,6,16.2,0,1
single,18,2,daytime,135.0,38,125.3,yes,no,yes,female,yes,18,8,8,7,11.785714285714286,0,8,8,7,11.785714285714286,0,1
single,1,6,daytime,137.0,1,126.3,yes,no,yes,female,yes,18,8,8,8,13.42375,0,8,8,8,13.42375,0,1
single,1,1,daytime,100.0,38,100.0,no,no,yes,female,no,20,6,8,6,12.5,0,6,10,5,14.166666666666666,0,1
single,17,2,daytime,127.0,19,121.3,yes,no,yes,female,yes,20,8,8,7,12.464285714285714,0,8,8,7,12.464285714285714,0,1
single,53,1,evening,140.0,38,135.0,no,yes,yes,female,no,23,11,18,8,12.375,0,9,15,5,12.6,0,1
single,39,1,daytime,140.0,37,120.0,no,no,yes,female,no,28,6,8,1,10.0,0,6,9,0,0.0,0,0
single,17,1,daytime,121.0,37,113.7,no,no,yes,female,no,18,6,8,5,12.6,0,6,10,6,12.428571428571429,0,1
single,43,1,daytime,131.0,19,129.7,yes,no,yes,female,no,19,5,5,5,12.6,0,5,6,4,12.4,0,1
married,1,1,daytime,151.0,38,132.1,yes,no,yes,female,no,34,5,7,2,10.0,0,5,6,4,12.0,0,0
married,51,1,daytime,130.0,37,120.3,no,no,yes,female,no,35,7,7,0,0.0,0,6,0,0,0.0,0,0
single,7,1,evening,120.0,37,120.0,no,no,yes,female,no,32,5,7,5,11.6,0,5,8,5,12.333333333333334,0,1
single,17,2,daytime,136.0,19,123.1,yes,no,yes,female,no,19,6,8,6,12.166666666666666,0,6,6,6,13.5,0,1
single,17,5,daytime,125.0,1,119.4,yes,no,yes,female,no,18,6,10,4,13.6,0,6,7,5,12.666666666666666,0,1
married,39,1,daytime,133.1,37,140.0,no,no,no,female,no,35,5,8,4,12.5,1,5,8,5,11.8,0,0
single,39,1,evening,133.1,1,116.5,no,no,yes,male,yes,24,6,6,4,12.25,0,6,10,4,11.5,0,1
single,17,1,daytime,120.0,19,113.0,yes,no,yes,female,yes,20,6,7,6,11.714285714285714,0,6,8,6,12.625,0,1
single,1,3,daytime,143.0,19,133.9,yes,no,yes,male,yes,18,6,7,6,13.5,0,6,7,6,13.0,0,1
single,1,3,daytime,133.1,38,115.5,yes,no,yes,male,yes,20,8,8,7,13.024285714285714,0,8,8,7,13.024285714285714,0,1
single,17,5,daytime,121.0,1,116.5,yes,no,no,male,no,18,6,12,0,0.0,0,6,0,0,0.0,0,0
single,1,1,daytime,168.0,19,171.2,no,no,yes,male,yes,18,5,6,5,17.333333333333332,0,5,8,5,18.571428571428573,0,1
single,1,1,daytime,124.0,19,119.1,no,no,yes,male,yes,20,5,7,4,11.0,0,5,7,4,11.5,0,1
single,17,2,daytime,127.0,19,121.1,yes,no,yes,male,no,19,7,10,6,13.666666666666666,0,7,9,6,12.5,0,0
single,1,2,daytime,129.0,1,132.9,yes,no,yes,male,yes,20,6,9,6,11.375,0,6,6,5,13.8,0,1
single,1,1,daytime,137.0,19,132.8,no,no,yes,male,no,19,6,6,6,12.833333333333334,0,6,8,6,11.833333333333334,0,1
single,1,1,daytime,120.0,36,126.7,yes,no,yes,male,no,20,6,9,5,12.6,0,6,11,4,11.5,0,1
single,1,1,daytime,110.0,19,105.8,yes,no,yes,male,no,22,7,8,6,14.333333333333334,0,8,9,7,13.771428571428572,0,1
single,17,2,daytime,120.0,1,117.2,no,no,yes,male,yes,18,5,8,4,13.5,0,6,10,6,13.625,0,1
single,1,1,daytime,143.0,38,140.0,no,no,yes,male,no,19,8,8,7,14.285714285714286,0,8,8,7,14.285714285714286,0,1
single,44,1,daytime,120.0,1,120.0,no,no,yes,male,no,22,6,15,3,11.75,0,6,12,2,10.0,0,0
single,17,5,daytime,124.0,4,119.5,yes,no,yes,male,no,20,5,5,5,14.8,0,5,5,5,17.6,0,1
married,39,1,daytime,168.0,1,153.9,no,yes,no,male,no,34,6,7,0,0.0,0,6,0,0,0.0,0,0
married,39,1,evening,133.1,1,130.0,no,no,yes,male,no,24,6,14,1,10.0,0,5,5,0,0.0,0,0
single,39,2,daytime,150.0,34,107.0,yes,no,yes,male,no,26,5,5,0,0.0,0,5,5,0,0.0,0,0
single,39,1,daytime,140.0,37,132.8,no,no,yes,male,no,35,7,10,4,12.6,0,7,9,5,12.38,0,0
single,1,1,evening,145.0,2,127.5,yes,no,yes,male,no,22,5,9,5,12.428571428571429,1,5,7,5,11.8,0,1
single,18,1,daytime,118.0,38,123.3,yes,no,yes,male,no,26,6,10,4,10.0,0,6,11,3,12.0,0,1
single,17,1,daytime,123.0,1,122.0,no,no,yes,male,no,19,5,7,3,12.333333333333334,0,5,5,0,0.0,0,0
single,1,5,daytime,120.0,3,114.8,yes,no,no,male,no,19,6,0,0,0.0,0,6,0,0,0.0,0,0
single,44,1,daytime,140.0,3,140.0,no,yes,yes,male,no,20,0,0,0,0.0,0,0,0,0,0.0,0,1
single,51,1,daytime,126.0,3,111.0,no,yes,yes,male,no,21,11,12,10,12.1,0,8,9,8,13.333333333333334,0,1
single,1,2,daytime,137.0,1,133.2,yes,no,yes,female,yes,19,6,7,6,14.714285714285714,0,6,6,6,15.0,0,1
single,1,3,daytime,130.0,19,123.0,yes,no,yes,female,no,18,6,6,6,12.666666666666666,0,6,7,6,12.833333333333334,0,1
single,53,1,daytime,150.0,1,150.0,no,no,yes,female,yes,23,12,14,12,14.384615384615383,0,10,12,10,13.3,0,1
single,17,3,daytime,147.0,19,132.3,yes,no,yes,female,yes,18,5,5,5,13.4,0,5,6,5,12.2,0,1
single,18,1,daytime,140.0,37,126.0,yes,no,yes,female,no,18,8,8,7,13.314285714285717,0,8,8,7,13.314285714285717,0,1
single,1,3,daytime,132.0,38,119.3,yes,no,yes,female,no,19,8,8,7,11.98857142857143,0,8,8,7,11.98857142857143,0,1
single,53,1,daytime,130.0,1,133.8,yes,no,yes,female,no,21,11,17,11,11.545454545454543,0,9,13,8,12.88888888888889,0,1
single,1,1,daytime,130.0,37,126.5,yes,no,yes,female,yes,18,6,13,6,16.46153846153846,0,6,8,6,13.875,0,1
single,1,1,daytime,151.0,38,138.4,yes,no,yes,female,yes,24,6,7,6,13.666666666666666,0,6,6,6,12.833333333333334,0,1
single,1,4,daytime,144.0,3,129.0,yes,no,yes,female,no,18,7,8,7,12.65,0,8,9,8,13.411111111111111,0,0
single,1,1,daytime,127.0,19,118.3,yes,no,yes,female,no,18,6,7,6,12.333333333333334,0,6,10,3,12.0,0,1
single,17,2,daytime,131.0,19,129.8,yes,no,yes,female,no,20,7,8,6,14.37,0,8,10,7,14.65,0,1
single,17,2,daytime,123.0,1,113.6,yes,no,yes,female,no,19,5,13,3,12.0,2,5,8,4,11.75,0,1
single,1,5,daytime,130.0,34,128.3,yes,no,no,female,yes,18,6,12,3,12.0,0,6,15,3,10.666666666666666,0,0
single,43,1,daytime,130.0,1,130.0,no,no,yes,female,yes,19,6,11,4,12.0,0,6,14,3,11.0,0,0
single,17,2,daytime,131.0,1,121.9,yes,no,yes,female,no,19,6,10,5,12.6,0,6,7,5,11.2,0,1
single,1,5,daytime,135.0,1,129.4,no,yes,yes,female,no,18,6,6,6,12.166666666666666,0,6,6,6,12.333333333333334,0,1
single,1,2,daytime,123.0,19,115.3,yes,no,yes,female,no,20,7,8,6,13.5,0,7,8,6,14.0,0,1
single,1,5,daytime,145.0,38,125.5,yes,no,yes,female,yes,18,8,8,8,13.76375,0,8,8,8,13.76375,0,1
single,17,6,daytime,118.0,38,117.8,yes,no,yes,female,yes,19,7,11,6,12.4,0,7,8,6,12.8,0,1
single,17,3,daytime,125.0,3,118.7,yes,no,yes,female,no,18,5,16,4,10.666666666666666,0,5,11,2,12.0,0,1
single,1,2,daytime,152.0,37,139.0,yes,no,yes,female,no,18,7,7,6,14.333333333333334,0,7,7,6,14.333333333333334,0,1
single,1,1,daytime,101.0,1,98.9,yes,no,yes,female,no,21,6,12,4,12.5,0,6,13,2,12.666666666666666,0,1
single,17,1,daytime,137.0,34,137.7,yes,yes,no,female,no,19,6,14,1,10.0,0,6,13,0,0.0,0,0
single,1,4,daytime,123.0,1,113.6,yes,no,yes,female,no,21,7,8,7,14.69625,0,8,9,8,14.622222222222224,0,1
single,1,1,daytime,120.0,4,113.4,no,no,yes,female,no,18,6,14,4,11.5,0,6,17,3,13.75,0,1
single,17,3,daytime,131.0,19,128.5,no,no,yes,female,yes,18,7,9,7,12.855555555555556,0,8,8,8,13.9125,0,1
single,1,1,daytime,141.0,1,142.8,no,no,yes,female,no,18,7,7,7,13.7,0,8,9,8,13.994444444444444,0,1
single,1,1,daytime,144.0,3,137.7,no,no,no,female,no,23,5,9,0,0.0,3,5,10,1,12.0,3,0
single,1,1,daytime,107.0,19,103.5,yes,no,yes,female,no,20,6,13,3,11.2,0,6,9,4,12.0,0,1
single,1,1,daytime,133.0,38,123.2,no,no,yes,female,no,18,7,7,7,13.285714285714286,0,8,9,8,13.333333333333334,0,1
single,17,2,daytime,126.0,1,126.0,yes,no,yes,female,no,19,6,9,5,13.0,0,6,8,5,10.4,0,1
single,39,1,daytime,133.1,1,121.7,no,no,yes,female,yes,27,7,8,6,12.6,0,7,9,6,11.685714285714283,0,1
single,17,1,daytime,147.0,37,142.8,yes,yes,no,female,yes,19,5,5,5,12.8,0,5,5,4,12.0,0,1
single,43,1,daytime,120.0,1,120.0,yes,no,yes,female,no,21,6,14,5,11.5,1,6,13,5,11.0,1,0
single,18,1,daytime,130.0,37,119.3,yes,no,yes,female,yes,19,8,8,7,11.4,0,8,8,7,11.4,0,1
single,44,1,daytime,120.0,37,121.0,no,no,yes,female,yes,21,6,6,6,12.333333333333334,0,6,8,6,11.333333333333334,0,1
single,1,5,daytime,138.0,19,139.4,yes,no,yes,female,no,18,6,7,5,12.8,0,6,10,4,12.2,0,1
single,17,1,daytime,124.0,19,113.9,yes,no,yes,female,yes,20,5,8,5,12.0,1,5,8,4,15.0,1,1
single,1,1,daytime,133.0,37,124.6,yes,no,yes,female,yes,18,6,8,5,13.0,0,6,9,5,13.5,0,1
single,17,1,daytime,122.0,1,123.8,yes,yes,no,female,yes,18,6,6,6,11.833333333333334,0,6,8,6,11.0,0,0
single,1,3,daytime,138.0,1,126.3,yes,no,yes,female,no,18,6,8,6,14.0,0,6,9,6,13.333333333333334,0,1
single,17,4,daytime,134.0,1,120.4,yes,no,yes,female,yes,18,6,6,6,12.333333333333334,0,6,6,6,13.5,0,1
single,1,3,daytime,128.0,1,120.5,yes,no,yes,female,yes,19,7,10,5,13.04,0,7,7,7,12.5,0,1
single,53,1,daytime,140.0,19,144.9,yes,yes,no,female,no,23,11,18,11,13.166666666666666,0,9,15,8,13.333333333333334,0,1
single,39,1,daytime,133.1,19,139.9,yes,no,yes,female,yes,24,6,7,6,12.5,0,6,11,6,12.833333333333334,0,1
single,1,1,daytime,142.0,1,133.3,yes,no,yes,female,no,19,0,0,0,0.0,0,0,0,0,0.0,0,1
single,1,3,daytime,141.0,19,126.0,yes,no,yes,female,no,18,8,8,7,15.657142857142857,0,8,8,7,15.657142857142857,0,1
single,1,2,daytime,145.0,1,133.5,no,no,yes,female,no,19,6,6,6,12.166666666666666,0,6,6,6,11.333333333333334,0,1
single,17,2,daytime,145.0,38,127.9,yes,no,yes,female,no,19,6,0,0,0.0,0,6,0,0,0.0,0,0
single,1,1,daytime,108.0,1,105.9,no,no,yes,female,yes,20,6,11,5,10.6,0,6,9,5,11.166666666666666,0,1
single,1,1,daytime,132.0,1,124.3,no,no,yes,female,no,20,6,10,6,13.428571428571429,0,6,11,5,12.666666666666666,0,1
single,39,1,daytime,140.0,34,102.5,no,no,yes,female,no,26,6,8,4,11.75,0,6,12,0,0.0,0,0
single,39,1,daytime,133.1,19,97.0,no,yes,no,male,no,36,5,10,0,0.0,0,5,5,0,0.0,0,0
single,17,1,daytime,128.0,1,134.7,no,no,no,male,no,19,0,0,0,0.0,0,0,0,0,0.0,0,0
single,42,1,daytime,120.0,19,113.8,no,no,no,male,no,27,5,0,0,0.0,0,5,0,0,0.0,0,0
single,1,4,daytime,120.0,3,116.9,no,no,yes,male,no,18,5,9,1,13.0,0,5,5,0,0.0,0,0
single,1,4,daytime,139.0,37,124.0,yes,no,yes,male,yes,18,8,8,7,13.331428571428573,0,8,8,7,13.331428571428573,0,1
single,39,1,daytime,139.3,38,117.5,no,no,yes,male,no,28,6,0,0,0.0,0,6,0,0,0.0,0,0
single,44,1,daytime,150.0,19,154.8,yes,no,yes,male,no,21,0,0,0,0.0,0,0,0,0,0.0,0,1
single,1,1,daytime,138.0,19,141.0,no,no,yes,male,no,19,7,7,6,13.7,0,7,7,6,13.7,0,1
single,39,1,daytime,133.1,6,120.0,no,yes,no,male,no,26,5,5,0,0.0,0,5,5,0,0.0,5,0
single,51,1,daytime,136.0,1,133.6,yes,no,yes,male,no,20,9,12,9,13.454545454545457,0,7,9,6,13.875,0,0
single,1,6,daytime,134.0,38,122.0,yes,no,yes,male,no,19,8,8,7,12.2,0,8,8,7,12.2,0,1
single,1,1,daytime,140.0,19,120.0,yes,no,yes,male,no,21,5,8,3,10.0,0,5,10,4,11.0,0,0
single,53,1,daytime,110.0,1,114.2,no,no,yes,male,yes,23,6,7,5,13.0,0,6,7,6,12.857142857142858,0,1
single,39,1,evening,133.1,38,95.5,no,no,yes,male,no,29,6,11,6,12.0,0,6,6,6,14.0,0,1
single,1,1,daytime,129.0,1,120.0,no,no,yes,male,no,20,8,8,7,15.028571428571428,0,8,8,7,15.028571428571428,0,1
single,1,1,daytime,116.0,1,111.1,no,no,yes,male,no,18,6,8,6,12.0,0,6,7,6,11.714285714285714,0,1
single,1,1,daytime,130.0,1,128.6,yes,no,yes,male,no,19,6,8,5,12.0,0,6,8,5,12.4,0,1
single,7,1,daytime,130.0,1,130.0,no,no,no,male,no,23,7,7,3,13.666666666666666,0,8,8,3,11.333333333333334,4,0
single,1,1,daytime,116.0,38,111.1,no,no,yes,male,no,21,0,0,0,0.0,0,0,0,0,0.0,0,0
single,17,1,daytime,136.0,1,122.7,yes,no,yes,male,no,18,5,6,5,12.0,0,5,7,4,12.5,0,1
single,1,1,daytime,147.0,37,134.4,yes,no,yes,male,yes,18,0,0,0,0.0,0,0,0,0,0.0,0,1
single,1,5,daytime,117.0,19,131.0,yes,yes,no,male,no,21,6,6,1,14.0,0,6,7,0,0.0,7,0
single,51,1,daytime,141.0,1,125.0,no,no,yes,male,no,22,6,6,0,0.0,0,6,7,0,0.0,0,0
single,18,1,daytime,133.1,3,106.0,yes,no,yes,male,no,21,7,8,7,12.375,0,7,11,5,12.583333333333334,0,1
single,39,1,daytime,133.1,38,128.0,yes,no,no,male,no,32,7,0,0,0.0,0,8,0,0,0.0,0,0
single,7,1,daytime,120.0,1,120.0,yes,no,yes,male,no,27,18,21,18,11.421052631578949,0,13,16,13,11.076923076923077,1,1
single,1,1,daytime,148.0,19,134.8,yes,no,yes,male,no,18,7,7,6,13.35,0,7,7,6,13.35,0,1
single,39,1,daytime,130.0,1,112.0,yes,no,yes,male,yes,24,6,6,6,15.0,0,6,6,2,16.0,0,1
single,1,1,daytime,120.0,19,116.1,yes,no,yes,male,no,22,5,9,2,10.5,0,5,5,0,0.0,0,0
single,43,1,daytime,120.0,2,120.0,yes,no,no,male,no,22,6,0,0,0.0,0,4,6,0,0.0,2,0
single,1,3,daytime,133.0,37,119.7,yes,no,yes,male,no,19,5,8,5,13.25,0,5,6,5,11.833333333333334,0,1
single,17,6,daytime,129.0,37,117.1,yes,no,yes,male,no,19,5,10,0,0.0,0,5,5,0,0.0,0,0
single,1,2,daytime,118.0,1,112.4,yes,no,yes,male,no,21,5,7,4,11.5,0,5,15,3,10.6,4,1
single,1,2,daytime,140.0,1,131.0,yes,no,yes,female,yes,18,8,8,8,13.88125,0,8,8,8,13.88125,0,1
single,1,2,daytime,127.0,3,130.9,yes,no,yes,female,no,18,6,8,6,11.333333333333334,0,6,8,5,12.6,0,1
single,1,1,daytime,131.0,19,134.9,yes,yes,yes,female,no,20,0,0,0,0.0,0,0,0,0,0.0,0,0
single,17,1,daytime,132.0,1,127.1,yes,no,yes,female,no,19,6,7,6,12.857142857142858,0,6,7,6,13.666666666666666,0,1
single,17,5,daytime,113.0,38,110.2,yes,yes,yes,female,no,19,6,6,5,11.6,0,6,6,6,12.5,0,1
single,17,1,daytime,115.0,12,108.7,yes,no,yes,female,yes,18,6,9,5,11.4,0,6,6,6,11.333333333333334,0,1
single,1,1,daytime,133.1,1,138.0,yes,no,yes,female,no,20,6,11,6,13.333333333333334,0,6,10,6,13.0,0,1
single,44,1,daytime,150.0,12,147.7,no,yes,yes,female,yes,22,7,7,7,13.571428571428571,0,9,9,9,13.77777777777778,0,1
married,39,1,daytime,133.1,37,123.0,no,no,yes,female,no,31,7,13,6,11.833333333333334,0,7,8,7,12.228571428571428,0,1
single,17,1,daytime,141.0,19,142.8,no,no,yes,female,yes,19,7,7,7,14.428571428571429,0,7,7,7,14.142857142857142,0,1
single,1,2,daytime,140.0,1,138.3,yes,no,yes,female,no,18,0,0,0,0.0,0,0,0,0,0.0,0,1
single,1,2,daytime,136.0,38,125.2,yes,no,yes,female,yes,18,6,8,6,12.285714285714286,0,6,9,5,12.4,0,1
single,1,1,daytime,140.0,12,141.8,no,no,yes,female,no,21,5,7,5,14.4,0,5,5,5,13.8,0,1
single,17,5,daytime,143.0,38,130.6,yes,no,yes,female,yes,18,7,8,7,13.15,0,8,9,8,15.06875,0,1
single,44,1,daytime,130.0,2,130.0,no,yes,no,male,no,25,5,6,0,0.0,0,5,5,0,0.0,0,0
single,15,1,daytime,133.1,1,100.0,no,yes,yes,male,no,21,5,5,0,0.0,0,6,8,0,0.0,0,0
single,18,2,daytime,129.0,38,119.0,yes,no,yes,female,yes,19,8,8,7,12.342857142857143,0,8,8,7,12.342857142857143,0,1
single,1,2,daytime,132.0,38,124.3,yes,no,yes,female,no,19,6,6,5,12.2,0,6,7,5,10.8,0,1
single,17,1,daytime,118.0,11,122.2,yes,no,yes,female,no,22,6,10,4,10.5,0,6,14,1,11.0,0,0
single,15,1,daytime,150.0,38,150.0,no,no,yes,male,no,19,5,5,5,10.6,0,5,8,5,11.6,0,1
single,39,1,evening,133.1,37,135.5,no,no,yes,female,no,58,6,6,0,0.0,0,6,6,0,0.0,0,0
single,16,2,daytime,122.0,19,127.3,yes,no,yes,female,yes,19,6,8,4,11.25,0,6,6,6,12.0,0,1
single,43,1,daytime,127.0,37,127.0,yes,no,yes,male,no,23,9,11,6,10.5,0,10,10,10,11.7,0,1
single,1,2,daytime,122.0,37,126.9,yes,no,yes,female,yes,19,6,11,4,11.0,0,6,11,3,11.666666666666666,0,1
single,18,3,daytime,131.0,19,127.5,yes,no,yes,female,no,18,7,7,7,13.457142857142856,0,8,8,8,14.5125,0,1
single,1,2,daytime,130.0,19,122.0,no,no,yes,female,no,20,5,6,5,12.6,0,5,8,4,12.333333333333334,0,1
single,17,5,daytime,130.0,19,115.8,no,no,no,female,no,18,6,0,0,0.0,0,6,0,0,0.0,0,0
single,17,1,daytime,130.0,3,121.6,no,no,yes,female,no,18,6,6,6,13.666666666666666,0,6,8,5,13.6,0,1
single,17,4,daytime,122.0,19,116.4,yes,yes,yes,female,yes,18,5,5,5,11.6,0,5,5,5,11.8,0,1
single,39,1,daytime,114.0,38,120.0,no,no,yes,female,no,24,6,9,6,12.571428571428571,0,6,10,5,12.833333333333334,0,0
single,17,4,daytime,143.0,37,127.3,yes,no,yes,female,no,18,6,7,5,11.8,0,6,7,5,11.4,0,0
single,1,3,daytime,127.0,1,123.5,yes,no,yes,female,yes,19,5,5,5,11.6,0,5,11,3,12.666666666666666,0,1
single,17,3,daytime,141.0,19,125.6,yes,no,yes,female,yes,19,6,8,6,11.333333333333334,0,6,6,6,11.833333333333334,0,1
single,1,1,daytime,129.0,38,118.5,yes,no,yes,female,no,18,6,6,6,10.666666666666666,0,6,6,6,11.5,0,1
single,1,2,daytime,140.0,19,129.5,yes,no,yes,female,no,18,5,10,4,13.5,1,5,5,5,13.4,0,1
single,1,1,daytime,137.0,19,134.6,yes,no,yes,female,yes,19,0,0,0,0.0,0,0,0,0,0.0,0,1
single,44,1,daytime,140.0,4,140.0,no,no,yes,female,no,22,6,9,6,13.333333333333334,0,6,9,4,11.5,0,1
single,1,1,daytime,143.0,2,133.2,yes,no,yes,female,no,19,6,9,5,13.4,0,6,16,2,13.5,0,1
widower,17,1,daytime,138.0,37,133.5,yes,no,yes,female,yes,21,6,8,3,10.2,0,6,13,4,12.25,0,1
single,17,1,daytime,120.0,19,117.9,yes,no,yes,female,yes,21,6,6,5,13.0,0,6,7,6,12.833333333333334,0,1
single,1,3,daytime,144.0,38,128.0,yes,no,yes,female,yes,18,8,11,7,12.90857142857143,0,8,11,7,12.90857142857143,0,1
single,1,5,daytime,123.0,1,113.2,yes,no,yes,female,no,20,6,12,4,12.0,0,6,11,1,10.0,0,0
single,1,3,daytime,129.0,37,122.0,yes,no,yes,female,yes,18,6,9,6,10.833333333333334,0,6,8,5,11.0,0,1
